filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Bielski_Belles	Bielski_Belles	Bielski, Nella	F	Si belles et fraîches étaient les roses	blanche	1980	nan	1980	1980
Didelot_Ombres	Didelot_Ombres	Didelot, Francis	M	Les ombres du parking	policier	1980	nan	1980	1980
Tournier_Gaspard	Tournier_Gaspard	Tournier, Michel	M	Gaspard	blanche	1980	1980	nan	NA
Rendell_Petit	Rendell_Petit	Rendell, Ruth	F	Le petit été de la Saint-Luke	policier	1980	nan	1980	1980
Zelazny_Enfant	Zelazny_Enfant	Zelazny, Roger	M	L'enfant tombé de nulle part	scifi	1980	nan	1980	1980
Curval_Odeur	Curval_Odeur	Curval, Philippe	M	L'odeur de la bête	scifi	1981	nan	1981	1981
Pohl_Promenade	Pohl_Promenade	Pohl, Frédérik	M	La promenade de l'ivrogne	scifi	1981	nan	1981	1981
Bodard_Anne	Bodard_Anne	Bodard, Lucien	M	Anne Marie	blanche	1981	nan	1981	1981
Ryck_Piege	Ryck_Piege	Ryck, Francis	M	Piege	policier	1981	1981	nan	NA
RobbeGrillet_NN	RobbeGrillet_NN	Robbe-Grillet, Alain	M	Djinn, Un trou rouge entre les pavés disjoints	blanche	1981	1981	nan	NA
Volkoff_Metro	Volkoff_Metro	Volkoff, Vladimir	M	Métro pour l'enfer	scifi	1981	nan	1981	1981
Heinlein_Age	Heinlein_Age	Heinlein, Robert A.	M	L'âge des étoiles	scifi	1981	nan	1981	1981
Farmer_Odyssee	Farmer_Odyssee	Farmer, Philip José	M	L'odyssée verth	scifi	1982	nan	1982	1982
Volkoff_Tire	Volkoff_Tire	Volkoff, Vladimir	M	Le tire-bouchon du bon dieu	scifi	1982	nan	1982	1982
Ligny_Furia	Ligny_Furia	Ligny, Jean-Marc	M	Furia!	scifi	1982	nan	1982	1982
Brunner_Chimeres	Brunner_Chimeres	Brunner, John	M	Les chimères de l'ombre	scifi	1982	nan	1982	1982
Bon_Sortie	Bon_Sortie	Bon, François	M	Sortie Usine	blanche	1982	1982	nan	NA
Andrevon_Cauchemar	Andrevon_Cauchemar	Andrevon, Jean-Pierre	M	Cauchemar...chauchemars!	scifi	1982	nan	1982	1982
Heinlein_Route	Heinlein_Route	Heinlein, Robert A.	M	Route de la gloire	scifi	1982	nan	1982	1982
Weyergans_Radeau	Weyergans_Radeau	Weyergans, François	M	Le Radeau de la Méduse	blanche	1983	nan	1983	1983
Pouy_Spinoza	Pouy_Spinoza	Pouy, Jean-Bernard	M	Spinoza encule Hegel	policier	1983	1983	nan	NA
Ferriere_Climat	Ferriere_Climat	Ferrière, Jean-Pierre	M	Un climat mortel	policier	1983	nan	1983	1983
Volkoff_Guerre	Volkoff_Guerre	Volkoff, Vladimir	M	La guerre des pieuvres	scifi	1983	nan	1983	1983
Jeury_Vers	Jeury_Mondes	Jeury, Michel	M	Vers l'Âge d'Or (Goer de la Terre, 3)	scifi	1983	1983	2016	NA
Echenoz_Cherokee	Echenoz_Cherokee	Echenoz, Jean	M	Cherokee	policier	1983	1983	nan	NA
Wintrebert_Maitres-feu	Wintrebert_Maitres-feu	Wintrebert, Joëlle	F	Les maîtres-feu	scifi	1983	nan	1983	1983
Duras_Amant	Duras_Amant	Duras, Marguerite	F	L'Amant	blanche	1984	1984	nan	NA
Silverberg_Revivre	Silverberg_Revivre	Silverberg, Robert	M	Revivre encore	scifi	1984	nan	1984	1984
Stagge_Chansonnette	Stagge_Chansonnette	Stagge, Jonathan	M	Chansonnette funèbre	policier	1984	nan	1984	1984
Pourunjour_Voisins	Pourunjour_Voisins	Pourunjour, Caroline	F	Des voisins très inquiétants	policier	1984	nan	1984	1984
Quentin_Meurtre	Quentin_Meurtre	Quentin, Patrick	M	Meurtre à l'université	policier	1984	nan	1984	1984
Leourier_Ti-Harnog	Leourier_Ti-Harnog	Léourier, Christian	M	Ti-Harnog	scifi	1984	nan	1984	1984
Brunner_Noire	Brunner_Noire	Brunner, John	M	Noire est la couleur	scifi	1984	nan	1984	1984
Brunner_Ville	Brunner_Ville	Brunner, John	M	La ville est un echiquier	scifi	1985	nan	1985	1985
Bakker_Compte	Bakker_Compte	Bakker, Kit	M	Compte à rebours	policier	1985	nan	1985	1985
Bon_Limite	Bon_Limite	Bon, François	M	Limite	blanche	1985	1985	nan	NA
Tournier_Goutte	Tournier_Goutte	Tournier, Michel	M	Goutte Or	blanche	1985	1985	nan	NA
Queffelec_Noces	Queffelec_Noces	Queffélec, Yann	M	Les noces barbares	blanche	1985	nan	1985	1985
Bourin_Grand	Bourin_Grand	Bourin, Jeanne	F	Le Grand Feu	blanche	1985	nan	1985	1985
Daeninckx_Metropolice	Daeninckx_Metropolice	Daeninckx, Didier	M	Métropolice	policier	1985	1985	nan	NA
Bachellerie_Rue	Bachellerie_Rue	Bachellerie, Louise	F	La rue des bons apôtres	policier	1985	nan	1985	1985
Carr_Marie	Carr_Marie	Carr, John Dickson	M	Le marié perd la tête	policier	1985	nan	1985	1985
Deon_Bagages	Deon_Bagages	Déon, Michel	M	Bagages pour Vancouver. Mes arches de Noé	blanche	1985	nan	1985	1985
