;Unnamed: 0;0TextId;year;author-gender;verbs;innerVerbs;sehen:perception;wollen:volition;müssen:moral;wissen:cognition;sollen:moral;mögen:affect;meinen:cognition;hören:perception;denken:cognition;lieben:affect;fühlen:affect;verstehen:cognition;erkennen:cognition;vergessen:cognition;brauchen:volition;vermögen:volition;blicken:perception;bemerken:perception
152;152;k00100000040;1888;m;27173;1786;392;60;4;296;4;63;77;236;199;117;165;112;112;52;62;29;48;44
153;153;k00200001113;1890;m;2864;145;61;5;0;27;0;16;5;21;6;2;9;1;8;0;0;10;11;0
154;154;k00200002432;1920;m;16179;1493;420;38;4;226;6;11;104;157;231;137;43;50;14;49;34;2;137;43
155;155;k00200000543;1908;m;9665;858;236;23;1;166;4;19;29;115;125;53;48;29;25;22;31;5;32;13
156;156;k00200001649;1812;m;47410;3281;1128;68;3;502;24;195;60;401;250;81;220;78;221;75;30;161;286;143
157;157;k00200000557;1906;m;15051;1407;362;41;1;269;18;40;200;205;160;29;52;41;25;25;74;3;63;23
158;158;k00200002426;1855;m;9364;717;248;13;0;116;2;32;29;119;54;18;43;29;32;26;10;20;24;43
159;159;k00200001117;1899;m;14734;1421;627;49;2;166;3;33;40;145;177;79;109;46;9;30;41;13;43;23
160;160;k00100000044;1801;m;16349;1525;490;31;0;221;2;19;29;197;149;166;140;50;43;50;23;3;49;56
161;161;k00200001671;1919;m;9202;630;230;14;0;124;8;13;31;93;60;18;26;24;33;17;13;10;16;21
162;162;k00200003072;1908;m;8269;637;166;26;0;155;2;2;15;67;73;45;18;41;43;19;28;0;12;33
163;163;k00100000078;1876;f;8655;623;180;9;0;99;2;16;47;71;97;32;29;37;7;7;22;14;45;15
164;164;k00200002344;1903;m;11577;962;334;18;1;120;1;28;29;93;123;25;41;20;21;41;38;17;128;28
165;165;k00100000087;1834;m;9361;890;352;22;1;88;2;16;37;188;52;27;16;21;54;19;5;2;110;53
166;166;k00200003099;1911;m;8162;697;155;39;0;178;5;21;32;80;110;57;28;13;20;17;14;10;16;25
167;167;k00200002393;1907;m;10064;825;314;19;0;127;4;6;31;96;91;65;37;21;6;32;31;2;57;10
168;168;k00100000246;1866;f;12213;1016;358;8;0;160;2;32;77;148;114;36;55;32;40;37;17;13;36;55
169;169;k00100000252;1894;m;22198;2209;740;121;4;452;15;26;108;334;250;22;38;66;58;17;131;13;47;68
170;170;k00200000037;1869;m;7082;516;173;19;2;127;2;6;20;85;44;13;16;30;19;10;4;4;1;2
171;171;k00100000285;1832;m;15753;1162;340;35;1;218;13;57;44;169;159;34;69;41;45;27;20;12;47;52
172;172;k00200000786;1867;m;14665;1036;331;31;1;223;1;41;41;109;66;8;63;45;68;21;50;4;19;59
173;173;k00100000332;1916;f;3266;239;55;5;2;65;0;1;26;32;28;1;16;15;4;8;17;1;3;6
174;174;k00100000440;1800;m;34057;2487;962;75;2;459;28;90;78;377;297;120;141;84;89;60;101;65;28;49
175;175;k00200002754;1904;m;7666;694;203;13;0;131;1;10;82;50;66;35;86;30;9;14;24;5;40;9
176;176;k00200002998;1914;m;6178;586;163;21;0;117;0;21;17;92;40;18;34;20;33;6;13;7;35;28
177;177;k00200001249;1906;m;9567;340;165;7;1;58;1;14;7;60;50;7;20;25;26;4;31;8;8;5
178;178;k00200000180;1900;f;8506;906;311;16;1;144;0;20;19;82;151;60;63;41;14;11;23;3;15;28
179;179;k00100000130;1896;m;8295;729;128;61;2;155;13;7;52;99;127;7;15;30;15;6;36;2;54;9
180;180;k00100000124;1829;f;18862;1960;628;62;1;421;1;53;44;229;299;56;94;99;53;55;34;11;20;44
181;181;k00200003106;1919;m;5291;463;161;9;3;115;0;4;5;47;36;70;11;5;8;20;9;3;12;1
182;182;k00200002218;1893;m;4890;448;181;16;0;80;0;7;30;50;28;9;20;12;10;4;17;3;27;9
183;183;k00200000341;1876;m;8964;527;150;25;4;95;13;4;77;76;47;19;8;24;16;11;11;0;11;4
184;184;k00200000427;1896;m;7520;439;188;18;0;58;4;16;15;106;17;10;9;15;6;5;6;4;27;6
185;185;k00200000355;1876;m;1892;96;27;6;2;15;4;0;10;11;12;8;2;4;4;1;1;0;2;1
186;186;k00100000119;1906;m;3752;365;123;19;0;60;2;2;13;52;93;3;7;13;1;4;16;0;0;3
187;187;k00200000354;1834;m;5267;307;70;12;3;55;8;8;42;42;28;14;5;16;9;9;10;5;10;2
188;188;k00200000340;1895;m;5717;373;83;17;2;62;6;7;60;64;21;16;3;18;14;9;26;5;4;4
189;189;k00200002219;1911;m;9112;862;251;24;2;155;2;7;40;123;122;28;60;42;18;16;45;1;28;12
190;190;k00100000125;1862;f;5244;375;100;7;0;54;2;27;14;55;35;12;29;10;7;9;11;20;26;9
191;191;k00200001710;1897;m;7428;547;126;26;0;112;5;10;29;94;68;32;22;24;19;22;10;5;17;27
192;192;k00100000131;1905;m;18544;1582;301;86;3;335;25;37;81;198;258;32;69;108;34;17;67;18;118;14
193;193;k00200000181;1892;f;7477;756;245;21;0;126;2;25;27;75;109;39;77;36;16;22;15;10;8;19
194;194;k00200002966;1868;m;9148;547;168;22;0;86;6;24;11;40;42;33;23;16;55;17;12;13;68;9
195;195;k00200002741;1906;m;6083;486;171;18;2;55;0;19;18;44;64;15;31;22;11;18;13;2;26;9
196;196;k00200000624;1913;m;8747;698;216;18;3;110;1;9;45;113;74;12;38;36;6;21;33;4;24;7
197;197;k00200002755;1906;m;9825;851;193;19;1;130;2;26;90;87;91;30;110;18;26;25;22;11;63;16
198;198;k00200001506;1854;m;27061;2295;752;98;1;401;21;75;69;469;262;69;55;75;71;44;64;27;137;34
199;199;k00200002769;1892;m;5348;467;153;16;1;97;0;9;15;56;56;33;25;31;6;10;15;2;11;16
200;200;k00200002190;1908;m;7010;437;138;9;2;100;1;20;10;44;41;18;22;26;11;21;20;4;28;13
201;201;k00200000793;1854;m;18306;1378;501;50;1;236;8;12;34;185;117;38;89;64;86;36;61;1;23;33
202;202;k00200000963;1898;m;11729;885;314;23;1;167;5;11;71;129;94;46;10;28;12;13;22;2;23;9
203;203;k00100000290;1915;m;12514;1116;417;13;1;166;4;33;27;83;132;45;97;77;32;17;34;6;28;38
204;204;k00100000284;1865;m;22695;1538;358;30;2;227;7;122;58;152;182;51;119;78;81;63;65;92;108;110
205;205;k00200002806;1913;m;9217;851;317;17;1;133;0;16;51;88;97;55;58;20;17;32;36;7;31;8
206;206;k00200000036;1869;m;10726;833;279;21;0;205;2;10;22;110;77;30;44;40;48;17;7;4;4;14
207;207;k00200000778;1864;m;11759;908;371;22;0;164;0;11;38;114;74;14;56;32;50;20;69;0;9;18
208;208;k00100000253;1894;m;21116;1922;565;77;2;311;32;54;159;288;185;16;28;70;96;26;96;45;99;104
209;209;k00200003271;1913;f;7989;706;228;18;1;96;0;52;38;56;79;15;38;45;11;29;21;24;64;4
210;210;k00200003265;1917;f;6333;454;139;8;1;64;0;20;44;63;65;2;25;22;10;17;25;8;17;4
211;211;k00100000247;1867;f;10720;815;324;17;0;142;0;28;47;115;87;24;36;22;17;26;18;14;37;9
212;212;k00200002392;1909;m;9899;631;249;19;0;95;3;7;24;121;74;25;20;15;2;19;19;3;38;4
213;213;k00100000086;1815;m;12040;1060;503;20;0;145;5;27;28;156;39;40;30;39;61;18;6;3;105;100
214;214;k00200001880;1911;m;3390;269;95;3;0;30;0;2;4;37;23;21;30;17;6;17;8;0;11;5
215;215;k00100000079;1880;f;4634;375;108;10;1;59;0;10;30;46;43;22;11;9;11;14;24;8;25;5
216;216;k00200000552;1916;m;9898;975;296;38;1;192;5;10;31;88;195;20;37;48;10;34;43;4;32;10
217;217;k00200001670;1864;m;11459;753;213;21;2;151;2;30;29;126;63;32;24;33;35;15;29;20;15;37
218;218;k00200001100;1905;m;7441;479;119;14;0;84;4;27;23;63;54;1;34;26;43;11;15;12;25;5
219;219;k00100000053;1916;f;6171;295;43;10;0;23;9;8;48;60;63;0;0;9;7;12;20;0;17;1
220;220;k00200001666;1856;m;24149;1426;431;29;4;313;6;48;67;259;80;56;56;71;60;36;29;33;50;56
221;221;k00200003071;1860;m;25307;1597;504;33;1;340;4;47;72;314;85;36;55;78;80;31;47;34;41;78
222;222;k00200003065;1918;m;3393;355;150;9;0;64;0;14;1;59;26;7;12;12;11;19;4;0;3;18
223;223;k00200001114;1912;m;5333;371;129;24;1;90;3;25;8;59;22;1;17;16;21;1;13;8;11;1
224;224;k00200000544;1916;m;10708;922;243;22;2;156;2;19;52;138;112;40;63;54;34;22;50;8;29;20
225;225;k00200002347;1906;m;4974;315;121;4;1;54;0;8;3;56;23;13;15;11;12;12;5;4;25;7
226;226;k00100000090;1919;m;12795;1007;400;20;1;192;1;12;35;106;107;23;60;58;40;23;36;5;22;13
227;227;k00100000084;1788;f;13109;721;199;20;2;79;8;14;2;113;133;89;117;26;11;34;22;12;0;18
228;228;k00200000587;1906;m;27668;2404;901;65;4;482;12;81;94;347;209;25;108;135;57;77;153;32;40;81
229;229;k00200002390;1903;m;6293;523;282;7;0;98;4;4;29;60;38;12;12;20;2;10;16;1;3;4
230;230;k00200002384;1881;m;37706;2551;652;128;5;540;35;76;252;337;241;88;79;84;132;64;114;33;91;90
231;231;k00200001855;1904;m;3494;292;102;7;0;36;1;4;17;49;35;1;9;15;7;8;7;4;11;13
232;232;k00100000251;1892;m;21101;1639;525;43;2;271;23;28;125;301;97;31;23;78;54;32;89;14;117;87
233;233;k00200000008;1832;m;16487;1396;439;34;4;273;2;52;67;225;133;60;31;53;48;47;48;1;72;45
234;234;k00200002179;1883;m;6051;468;206;13;0;72;0;14;30;50;48;20;7;30;13;13;17;6;9;16
235;235;k00200001458;1917;m;4251;405;141;3;0;57;0;7;3;55;33;2;46;18;17;6;6;3;48;15
236;236;k00200000034;1869;m;9703;727;236;20;0;161;1;13;28;111;59;23;36;34;35;23;12;6;8;9
237;237;k00100000279;1913;m;9524;942;323;19;1;183;0;18;32;139;85;10;62;62;20;23;19;7;60;19
238;238;k00100000292;1835;m;7337;614;191;19;1;95;1;21;20;87;105;32;31;27;12;15;21;14;38;10
239;239;k00200000961;1900;m;8927;675;236;19;0;106;0;6;35;83;70;58;9;30;15;14;17;2;36;7
240;240;k00100000286;1785;m;14383;834;182;14;0;110;0;29;9;174;177;29;118;21;13;43;13;3;41;32
241;241;k00200000949;1886;m;6515;487;193;16;0;79;0;7;20;82;51;11;17;20;9;10;14;5;18;2
242;242;k00200002019;1888;m;5533;302;140;8;8;8;1;11;20;53;27;1;5;16;12;3;10;7;11;14
243;243;k00100000325;1899;m;4910;341;84;13;2;108;1;13;34;65;22;6;6;10;2;3;32;5;6;4
244;244;k00100000443;1920;m;16913;1080;238;31;1;176;14;22;152;141;117;34;65;34;28;9;53;1;64;29
245;245;k00100000331;1913;f;4656;551;136;7;1;131;0;9;61;79;63;23;38;32;9;12;8;5;7;17
246;246;k00100000319;1869;m;12383;1035;349;23;1;302;6;31;54;99;82;14;46;54;16;34;48;5;55;12
247;247;k00200000829;1907;m;7198;403;203;14;2;51;1;9;25;52;53;5;6;3;3;2;21;9;16;8
248;248;k00200002794;1905;m;5146;466;125;9;1;77;0;13;20;57;52;1;29;29;34;23;7;6;22;20
249;249;k00200000183;1915;f;11341;1150;345;15;3;221;3;34;32;101;197;69;105;47;25;15;40;9;10;17
